Country/Area,Item1,Purpose,Year,Overnight Stays
United States,Aichi,Overall,2015,"101,700"
United States,Aichi,Overall,2016,"101,320"
United States,Aichi,Overall,2017,"92,310"
United States,Aichi,Overall,2018,"84,960"
United States,Aichi,Overall,2019,"96,590"
United States,Aichi,Overall,2020,"14,210"
United States,Aichi,Overall,2021,"4,810"
United States,Aichi,Overall,2022,"19,730"
United States,Aichi,Overall,2023,"90,230"
United States,Aichi,Overall,2024,"118,220"
United States,Akita,Overall,2015,"3,340"
United States,Akita,Overall,2016,"3,710"
United States,Akita,Overall,2017,"4,710"
United States,Akita,Overall,2018,"5,330"
United States,Akita,Overall,2019,"6,740"
United States,Akita,Overall,2020,"1,240"
United States,Akita,Overall,2021,540
United States,Akita,Overall,2022,960
United States,Akita,Overall,2023,"4,940"
United States,Akita,Overall,2024,"7,060"
United States,Aomori,Overall,2015,"19,810"
United States,Aomori,Overall,2016,"18,490"
United States,Aomori,Overall,2017,"19,510"
United States,Aomori,Overall,2018,"21,250"
United States,Aomori,Overall,2019,"22,500"
United States,Aomori,Overall,2020,"6,370"
United States,Aomori,Overall,2021,"4,710"
United States,Aomori,Overall,2022,"5,150"
United States,Aomori,Overall,2023,"17,420"
United States,Aomori,Overall,2024,"28,040"
United States,Chiba,Overall,2015,"264,060"
United States,Chiba,Overall,2016,"262,740"
United States,Chiba,Overall,2017,"296,740"
United States,Chiba,Overall,2018,"337,910"
United States,Chiba,Overall,2019,"346,740"
United States,Chiba,Overall,2020,"117,190"
United States,Chiba,Overall,2021,"93,150"
United States,Chiba,Overall,2022,"120,940"
United States,Chiba,Overall,2023,"431,240"
United States,Chiba,Overall,2024,"582,620"
United States,Ehime,Overall,2015,"5,700"
United States,Ehime,Overall,2016,"6,700"
United States,Ehime,Overall,2017,"7,120"
United States,Ehime,Overall,2018,"8,010"
United States,Ehime,Overall,2019,"7,700"
United States,Ehime,Overall,2020,"1,100"
United States,Ehime,Overall,2021,550
United States,Ehime,Overall,2022,"2,080"
United States,Ehime,Overall,2023,"8,680"
United States,Ehime,Overall,2024,"12,910"
United States,Fukui,Overall,2015,"2,130"
United States,Fukui,Overall,2016,"2,230"
United States,Fukui,Overall,2017,"2,590"
United States,Fukui,Overall,2018,"2,680"
United States,Fukui,Overall,2019,"3,580"
United States,Fukui,Overall,2020,820
United States,Fukui,Overall,2021,170
United States,Fukui,Overall,2022,540
United States,Fukui,Overall,2023,"2,420"
United States,Fukui,Overall,2024,"4,200"
United States,Fukuoka,Overall,2015,"59,460"
